
[26:19.000 --> 26:20.000]  So I,
[01:33:27.000 --> 01:33:28.000]  Okay.
[01:33:28.000 --> 01:33:32.000]  It's Lori Roth, date of birth, 117, 1960.
[01:33:32.000 --> 01:33:34.000]  She has an extensive criminal history,
[01:33:34.000 --> 01:33:37.000]  breaking and entering, distribution and trespassing.
[01:33:37.000 --> 01:33:39.000]  If your neighbor was watching Marlowe
[01:33:39.000 --> 01:33:41.000]  and claiming he had bruises around the times,
[01:33:41.000 --> 01:33:43.000]  we were shooting, I can refute that with footage.
[01:33:43.000 --> 01:33:44.000]  Okay, let's...
[01:33:44.000 --> 01:33:47.000]  Yeah, she claimed that he had bruises and a black eye.
[01:33:47.000 --> 01:33:49.000]  That Marlowe had a fucking black eye.
[01:33:49.000 --> 01:33:50.000]  Never.
[01:33:50.000 --> 01:33:51.000]  Never.
[01:33:51.000 --> 01:33:52.000]  Never.
[01:33:52.000 --> 01:33:53.000]  Never.
[01:33:53.000 --> 01:33:55.000]  He never had bruises other than falling off his bicycle.
[01:33:55.000 --> 01:33:57.000]  You know, his scraped knee.
[01:33:58.000 --> 01:34:01.000]  What did the judge finally decide on Monday?
[01:34:01.000 --> 01:34:02.000]  The judge said...
[01:34:02.000 --> 01:34:03.000]  The judge said, okay, great.
[01:34:03.000 --> 01:34:05.000]  So, I want to see this Val person.
[01:34:05.000 --> 01:34:06.000]  Can we please see Val?
[01:34:06.000 --> 01:34:08.000]  And so, he recalls me and I sit down.
[01:34:08.000 --> 01:34:09.000]  I don't say a word,
[01:34:09.000 --> 01:34:11.000]  because our lawyer says, don't talk.
[01:34:11.000 --> 01:34:13.000]  So, I listen to the lawyer.
[01:34:13.000 --> 01:34:14.000]  And she looks at me.
[01:34:14.000 --> 01:34:16.000]  There's a pause for like three or four seconds,
[01:34:16.000 --> 01:34:18.000]  and she says, I'm going to recommend
[01:34:18.000 --> 01:34:21.000]  that the child does not see Val Brooksman at all
[01:34:21.000 --> 01:34:24.000]  and has minimum visits with the mother.
[01:34:24.000 --> 01:34:25.000]  Minimum visits.
[01:34:25.000 --> 01:34:26.000]  Minimum.
[01:34:26.000 --> 01:34:28.000]  Like, the bare minimum that they have to...
[01:34:28.000 --> 01:34:29.000]  The minimum.
[01:34:29.000 --> 01:34:32.000]  They could give away a few hours, three days a week.
[01:34:32.000 --> 01:34:33.000]  You know?
[01:34:33.000 --> 01:34:35.000]  Is there a deadline that someone not acquires
[01:34:35.000 --> 01:34:36.000]  or wouldn't go back to court?
[01:34:36.000 --> 01:34:37.000]  Nope.
[01:34:37.000 --> 01:34:38.000]  We had no paperwork.
[01:34:38.000 --> 01:34:39.000]  We did nothing.
[01:34:39.000 --> 01:34:40.000]  I had no paperwork from anyone.
[01:34:40.000 --> 01:34:42.000]  No one from fucking DCF asked.
[01:34:42.000 --> 01:34:43.000]  From the courts.
[01:34:43.000 --> 01:34:44.000]  Nothing.
[01:34:44.000 --> 01:34:46.000]  Can you tell me on September 29th,
[01:34:46.000 --> 01:34:47.000]  you guys have the follow-up hearing
[01:34:47.000 --> 01:34:49.000]  where they'll make a more firm decision?
[01:34:49.000 --> 01:34:50.000]  Or is that...
[01:34:50.000 --> 01:34:51.000]  Yeah.
[01:34:51.000 --> 01:34:53.000]  So, on September 15th,
[01:34:53.000 --> 01:34:55.000]  I thought that was the court,
[01:34:55.000 --> 01:34:56.000]  that if it's not,
[01:34:56.000 --> 01:35:00.000]  it's when the investigator has to hand in his paperwork.
[01:35:00.000 --> 01:35:03.000]  And then the next trial date is the 29th.
[01:35:03.000 --> 01:35:06.000]  And if there's no amicable decision made,
[01:35:06.000 --> 01:35:08.000]  October 1st is the real trial,
[01:35:08.000 --> 01:35:09.000]  like a trial trial,
[01:35:09.000 --> 01:35:11.000]  where people will get witnesses,
[01:35:11.000 --> 01:35:13.000]  like the television or something.
[01:35:13.000 --> 01:35:14.000]  Okay.
[01:35:14.000 --> 01:35:16.000]  So, yeah.
[01:35:16.000 --> 01:35:17.000]  So that's...
[01:35:17.000 --> 01:35:18.000]  All right.
[01:35:18.000 --> 01:35:20.000]  The short version.
[01:35:20.000 --> 01:35:21.000]  It's pretty crazy.
[01:35:21.000 --> 01:35:22.000]  It's like the cop said,
[01:35:22.000 --> 01:35:23.000]  he's like,
[01:35:23.000 --> 01:35:25.000]  you got hit with a double wham.
[01:35:25.000 --> 01:35:27.000]  A double wham.
[01:35:27.000 --> 01:35:29.000]  And that's been stuck in my head ever since.
[01:35:29.000 --> 01:35:31.000]  He was very right.
[01:35:31.000 --> 01:35:35.000]  He was a double fucking triple wham.
[01:35:35.000 --> 01:35:36.000]  Sorry.
[01:35:36.000 --> 01:35:37.000]  I'm sorry.
[01:35:37.000 --> 01:35:39.000]  Speak my language.
[01:35:39.000 --> 01:35:40.000]  How often does that film feature,
[01:35:40.000 --> 01:35:42.000]  you know, sector guys?
[01:35:42.000 --> 01:35:43.000]  Not often.
[01:35:43.000 --> 01:35:44.000]  Not anymore.
[01:35:44.000 --> 01:35:45.000]  So they've filmed...
[01:35:45.000 --> 01:35:48.000]  So David Enrich,
[01:35:48.000 --> 01:35:49.000]  you know,
[01:35:49.000 --> 01:35:51.000]  he tried to get a film deal
[01:35:51.000 --> 01:35:52.000]  during this whole thing,
[01:35:52.000 --> 01:35:53.000]  very unethical,
[01:35:53.000 --> 01:35:54.000]  and he held on to...
[01:35:54.000 --> 01:35:56.000]  You probably don't want to hear any of this shit,
[01:35:56.000 --> 01:35:57.000]  but I'll tell you anyway,
[01:35:57.000 --> 01:35:58.000]  because it's so fucking political.
[01:35:58.000 --> 01:35:59.000]  If you're like Tim and Jim,
[01:35:59.000 --> 01:36:00.000]  you don't want to hear it.
[01:36:00.000 --> 01:36:02.000]  But Trump has these loans
[01:36:02.000 --> 01:36:03.000]  with Deutsche Bank, right?
[01:36:03.000 --> 01:36:04.000]  And David sat on them
[01:36:04.000 --> 01:36:05.000]  for a very long time.
[01:36:05.000 --> 01:36:06.000]  And I'm like,
[01:36:06.000 --> 01:36:07.000]  why did you sit on them?
[01:36:07.000 --> 01:36:08.000]  He said,
[01:36:08.000 --> 01:36:09.000]  well, Deutsche Bank told me they were fake.
[01:36:09.000 --> 01:36:10.000]  I'm like, no.
[01:36:10.000 --> 01:36:12.000]  You listen to Deutsche Bank told me.
[01:36:12.000 --> 01:36:14.000]  He has a deal set up with Deutsche Bank.
[01:36:14.000 --> 01:36:16.000]  It's kind of Eurgen.
[01:36:16.000 --> 01:36:17.000]  I forgot his last name,
[01:36:17.000 --> 01:36:19.000]  but he's the head of the PR.
[01:36:19.000 --> 01:36:20.000]  It's a, you know,
[01:36:20.000 --> 01:36:21.000]  scratch on my back,
[01:36:21.000 --> 01:36:22.000]  I'll scratch yours.
[01:36:22.000 --> 01:36:23.000]  And for example,
[01:36:23.000 --> 01:36:24.000]  with Tom Bowers,
[01:36:24.000 --> 01:36:25.000]  remember Tom Bowers?
[01:36:25.000 --> 01:36:26.000]  Tom Bowers was
[01:36:26.000 --> 01:36:28.000]  Rosemary Vibraleck's boss
[01:36:28.000 --> 01:36:30.000]  at DBTCA.
[01:36:30.000 --> 01:36:31.000]  Rosemary Vibraleck
[01:36:31.000 --> 01:36:32.000]  was Trump's private banker
[01:36:32.000 --> 01:36:33.000]  at Deutsche Bank.
[01:36:33.000 --> 01:36:35.000]  So he died.
[01:36:35.000 --> 01:36:37.000]  His death was very suspicious.
[01:36:37.000 --> 01:36:38.000]  It was suicide.
[01:36:38.000 --> 01:36:39.000]  He hung himself in Malibu.
[01:36:39.000 --> 01:36:40.000]  It was similar to my father.
[01:36:40.000 --> 01:36:43.000]  Very similar.
[01:36:43.000 --> 01:36:44.000]  And then the coroner,
[01:36:44.000 --> 01:36:46.000]  there was a huge problem with the body.
[01:36:46.000 --> 01:36:48.000]  We couldn't get the police report
[01:36:48.000 --> 01:36:50.000]  because the body had melted
[01:36:50.000 --> 01:36:52.000]  mysteriously on Christmas Day
[01:36:52.000 --> 01:36:54.000]  and they shipped it to Virginia
[01:36:54.000 --> 01:36:55.000]  for some reason.
[01:36:55.000 --> 01:36:57.000]  And that's, so we can't,
[01:36:57.000 --> 01:36:58.000]  it's cause of death,
[01:36:58.000 --> 01:37:00.000]  no one can tell anyone.
[01:37:00.000 --> 01:37:02.000]  Very fucking weird, right?
[01:37:02.000 --> 01:37:04.000]  Of all the bodies in the world,
[01:37:04.000 --> 01:37:05.000]  of all the deaths in the world,
[01:37:05.000 --> 01:37:06.000]  this is death.
[01:37:06.000 --> 01:37:10.000]  That is, no evidence.
[01:37:10.000 --> 01:37:11.000]  It's just fucking strange.
[01:37:11.000 --> 01:37:12.000]  And that was the last time
[01:37:12.000 --> 01:37:14.000]  I spoke to Jim and Tammy as well.
[01:37:14.000 --> 01:37:15.000]  I bring up Tom Bowers
[01:37:15.000 --> 01:37:18.000]  because, why do I bring up Tom Bowers?
[01:37:18.000 --> 01:37:21.000]  Oh, because he knows about the lungs, right?
[01:37:21.000 --> 01:37:23.000]  That was David's source.
[01:37:23.000 --> 01:37:26.000]  And I know that can be a whole mean source.
[01:37:26.000 --> 01:37:29.000]  And then when he died,
[01:37:29.000 --> 01:37:30.000]  David tweeted out,
[01:37:30.000 --> 01:37:31.000]  it was a sad day,
[01:37:31.000 --> 01:37:32.000]  Tom Bowers died today.
[01:37:32.000 --> 01:37:33.000]  He said, he's a good man.
[01:37:33.000 --> 01:37:34.000]  He's got a family, sir.
[01:37:34.000 --> 01:37:36.000]  He left out the most important bit,
[01:37:36.000 --> 01:37:38.000]  suicide, right?
[01:37:38.000 --> 01:37:39.000]  Because he has to deal with
[01:37:39.000 --> 01:37:40.000]  Deutsche Grange.
[01:37:40.000 --> 01:37:42.000]  They said, do not imagine the suicide.
[01:37:42.000 --> 01:37:44.000]  So it was myself and Scott Steadman.
[01:37:44.000 --> 01:37:46.000]  I told Scott about it.
[01:37:46.000 --> 01:37:47.000]  And Scott is a,
[01:37:47.000 --> 01:37:49.000]  he's like a Twitter,
[01:37:49.000 --> 01:37:50.000]  forensic music,
[01:37:50.000 --> 01:37:52.000]  he runs this thing called forensic music.
[01:37:52.000 --> 01:37:53.000]  It's like a Twitter phenomenon.
[01:37:53.000 --> 01:37:54.000]  It's like 20 years old,
[01:37:54.000 --> 01:37:56.000]  he's got a million followers.
[01:37:56.000 --> 01:37:57.000]  Because he handles
[01:37:57.000 --> 01:37:58.000]  the Trump-Russia thing really well.
[01:37:58.000 --> 01:37:59.000]  So I tell him this story
[01:37:59.000 --> 01:38:00.000]  and he gets on.
[01:38:00.000 --> 01:38:02.000]  He's a genius with public information.
[01:38:02.000 --> 01:38:03.000]  He finds anything in the public domain
[01:38:03.000 --> 01:38:05.000]  and he gets the cause of death.
[01:38:05.000 --> 01:38:08.000]  And then we do a story about the cause of death.
[01:38:08.000 --> 01:38:10.000]  And now we're in a battle against David.
[01:38:10.000 --> 01:38:11.000]  As I've always,
[01:38:11.000 --> 01:38:13.000]  as I've been since that fucking article came up.
[01:38:13.000 --> 01:38:15.000]  Sorry, that's,
[01:38:15.000 --> 01:38:16.000]  I don't know why
[01:38:16.000 --> 01:38:17.000]  it felt that was important
[01:38:17.000 --> 01:38:18.000]  for you guys to know.
[01:38:18.000 --> 01:38:19.000]  So you said David was,
[01:38:19.000 --> 01:38:22.000]  you began by saying David was sitting on the,
[01:38:22.000 --> 01:38:23.000]  sitting on the wall.
[01:38:23.000 --> 01:38:24.000]  Yeah.
[01:38:24.000 --> 01:38:25.000]  The Trump bill, you know.
[01:38:25.000 --> 01:38:26.000]  But then,
[01:38:26.000 --> 01:38:27.000]  forensic news,
[01:38:27.000 --> 01:38:28.000]  did they have their own?
[01:38:28.000 --> 01:38:29.000]  I mean, I guess the,
[01:38:29.000 --> 01:38:31.000]  the George Bank of data,
[01:38:31.000 --> 01:38:33.000]  seems like you shared it with Tim,
[01:38:33.000 --> 01:38:35.000]  with Tim and more?
[01:38:35.000 --> 01:38:36.000]  I did.
[01:38:36.000 --> 01:38:37.000]  I gave it to Tim and Jeremy.
[01:38:37.000 --> 01:38:38.000]  And then,
[01:38:38.000 --> 01:38:40.000]  David also had a copy of it.
[01:38:40.000 --> 01:38:41.000]  No, I never,
[01:38:41.000 --> 01:38:42.000]  I never gave David a full,
[01:38:42.000 --> 01:38:43.000]  I would never,
[01:38:43.000 --> 01:38:44.000]  I do not,
[01:38:44.000 --> 01:38:45.000]  you know,
[01:38:45.000 --> 01:38:46.000]  I gave him a doc,
[01:38:46.000 --> 01:38:48.000]  a selective amount of documents.
[01:38:48.000 --> 01:38:49.000]  But then,
[01:38:49.000 --> 01:38:51.000]  he's had the Trump data.
[01:38:51.000 --> 01:38:52.000]  No.
[01:38:52.000 --> 01:38:53.000]  No, no, no.
[01:38:53.000 --> 01:38:54.000]  So how did,
[01:38:54.000 --> 01:38:55.000]  how did David know about it?
[01:38:55.000 --> 01:38:56.000]  Tell him about it.
[01:38:56.000 --> 01:38:57.000]  Okay.
[01:38:57.000 --> 01:39:01.000]  Now, if you remember,
[01:39:01.000 --> 01:39:02.000]  there was a guy,
[01:39:02.000 --> 01:39:03.000]  he's a pundit,
[01:39:03.000 --> 01:39:05.000]  he's like a liberal-ish,
[01:39:05.000 --> 01:39:06.000]  not Chris Matthews,
[01:39:06.000 --> 01:39:07.000]  but,
[01:39:07.000 --> 01:39:09.000]  I can't remember his name.
[01:39:09.000 --> 01:39:10.000]  But he went on the air one,
[01:39:10.000 --> 01:39:11.000]  one night and said,
[01:39:11.000 --> 01:39:12.000]  ladies and gentlemen breaking news,
[01:39:12.000 --> 01:39:14.000]  I have the Trump loan documents,
[01:39:14.000 --> 01:39:16.000]  from the Russian banks.
[01:39:17.000 --> 01:39:19.000]  And they are very well,
[01:39:19.000 --> 01:39:21.000]  very much exactly what you thought,
[01:39:21.000 --> 01:39:22.000]  you guys all thought.
[01:39:22.000 --> 01:39:23.000]  Stay tuned,
[01:39:23.000 --> 01:39:24.000]  et cetera, et cetera.
[01:39:24.000 --> 01:39:25.000]  Next day,
[01:39:25.000 --> 01:39:26.000]  he says,
[01:39:26.000 --> 01:39:27.000]  ladies and gentlemen,
[01:39:27.000 --> 01:39:29.000]  I have to retract my statement,
[01:39:29.000 --> 01:39:30.000]  from the other night.
[01:39:30.000 --> 01:39:32.000]  I don't have them.
[01:39:32.000 --> 01:39:34.000]  Turns out they were fraudulent.
[01:39:34.000 --> 01:39:35.000]  And so,
[01:39:35.000 --> 01:39:36.000]  what the fuck.
[01:39:36.000 --> 01:39:37.000]  And Deutsche Bank's lawyer
[01:39:37.000 --> 01:39:39.000]  has got ahold of this guy.
[01:39:39.000 --> 01:39:40.000]  He's a famous name,
[01:39:40.000 --> 01:39:41.000]  I just can't,
[01:39:41.000 --> 01:39:42.000]  it's not coming to my mind.
[01:39:42.000 --> 01:39:43.000]  And told him that
[01:39:43.000 --> 01:39:44.000]  these are fraudulent documents
[01:39:44.000 --> 01:39:45.000]  and if you go,
[01:39:45.000 --> 01:39:46.000]  you're gonna fucking see the shit out of you,
[01:39:46.000 --> 01:39:48.000]  you're never gonna work again.
[01:39:48.000 --> 01:39:49.000]  And that's what you got scared
[01:39:49.000 --> 01:39:51.000]  and backed out.
[01:39:51.000 --> 01:39:53.000]  Now there are some fraudulent documents
[01:39:53.000 --> 01:39:54.000]  out there,
[01:39:54.000 --> 01:39:55.000]  I've seen them on Scribd.
[01:39:55.000 --> 01:39:56.000]  They're terrible,
[01:39:56.000 --> 01:39:57.000]  frauds,
[01:39:57.000 --> 01:39:58.000]  but these aren't the ones.
[01:39:58.000 --> 01:40:00.000]  These are different documents.
[01:40:00.000 --> 01:40:02.000]  Fraudulent documents are more...
[01:40:02.000 --> 01:40:03.000]  Not in my data set.
[01:40:03.000 --> 01:40:05.000]  Not just Deutsche Bank.
[01:40:05.000 --> 01:40:06.000]  Well,
[01:40:06.000 --> 01:40:09.000]  my data set's grown substantially
[01:40:09.000 --> 01:40:10.000]  since 2014,
[01:40:10.000 --> 01:40:12.000]  but it's not from my data set.
[01:40:16.000 --> 01:40:17.000]  Please.
[01:40:17.000 --> 01:40:19.000]  It's like no one's talking about
[01:40:19.000 --> 01:40:23.000]  the best way that we can help people.
[01:40:23.000 --> 01:40:25.000]  There's a couple options right now
[01:40:25.000 --> 01:40:27.000]  that we already have to talk about a little bit
[01:40:27.000 --> 01:40:29.000]  as far as the investigator goes, right?
[01:40:30.000 --> 01:40:32.000]  What are the allegations against you?
[01:40:32.000 --> 01:40:33.000]  I mean, I know we've talked about all of them,
[01:40:33.000 --> 01:40:35.000]  but you have like some where you've,
[01:40:35.000 --> 01:40:37.000]  like if you see the lack of food
[01:40:37.000 --> 01:40:39.000]  and you have cell phones everywhere.
[01:40:39.000 --> 01:40:41.000]  Yeah, I don't really know what the allegations are,
[01:40:41.000 --> 01:40:43.000]  other than drug addicts.
[01:40:43.000 --> 01:40:45.000]  You know, but it's easy to call them drug addicts.
[01:40:45.000 --> 01:40:47.000]  I am very open about my past.
[01:40:47.000 --> 01:40:48.000]  Right.
[01:40:48.000 --> 01:40:50.000]  You know, I've taken drugs.
[01:40:50.000 --> 01:40:51.000]  It's a big deal.
[01:40:51.000 --> 01:40:52.000]  You're not undergoing now,
[01:40:52.000 --> 01:40:54.000]  because you said you know a drug test.
[01:40:54.000 --> 01:40:55.000]  Yes.
[01:40:55.000 --> 01:40:56.000]  So that should be,
[01:40:56.000 --> 01:40:57.000]  that should probably solve itself, right?
[01:40:57.000 --> 01:40:58.000]  It should, but it doesn't.
[01:40:58.000 --> 01:40:59.000]  It didn't,
[01:40:59.000 --> 01:41:00.000]  because then the,
[01:41:00.000 --> 01:41:02.000]  our lawyers just don't take any drug tests,
[01:41:02.000 --> 01:41:03.000]  don't talk to them if they call,
[01:41:03.000 --> 01:41:04.000]  you hang up.
[01:41:04.000 --> 01:41:05.000]  If they're at the door,
[01:41:05.000 --> 01:41:06.000]  you don't open it.
[01:41:06.000 --> 01:41:07.000]  They're like, okay, fine.
[01:41:07.000 --> 01:41:09.000]  Do you recommend that safe thing?
[01:41:09.000 --> 01:41:10.000]  I don't know.
[01:41:10.000 --> 01:41:11.000]  Well,
[01:41:11.000 --> 01:41:12.000]  he's the lawyer.
[01:41:12.000 --> 01:41:13.000]  I just decided,
[01:41:13.000 --> 01:41:14.000]  he knows more than me.
[01:41:14.000 --> 01:41:15.000]  So I trust him,
[01:41:15.000 --> 01:41:16.000]  blindly,
[01:41:16.000 --> 01:41:17.000]  until yesterday.
[01:41:17.000 --> 01:41:18.000]  My,
[01:41:18.000 --> 01:41:19.000]  my,
[01:41:19.000 --> 01:41:21.000]  so that's what I did.
[01:41:21.000 --> 01:41:22.000]  And that was stupid of me.
[01:41:22.000 --> 01:41:23.000]  Very fucking stupid of me.
[01:41:23.000 --> 01:41:24.000]  And Marie did the same thing.
[01:41:24.000 --> 01:41:26.000]  And if I had not trusted him,
[01:41:26.000 --> 01:41:28.000]  Marie would not have trusted him.
[01:41:28.000 --> 01:41:29.000]  Does Marie also get a drug test
[01:41:29.000 --> 01:41:30.000]  after her work you said?
[01:41:30.000 --> 01:41:31.000]  Yes,
[01:41:31.000 --> 01:41:32.000]  randomly.
[01:41:32.000 --> 01:41:33.000]  Yes.
[01:41:33.000 --> 01:41:34.000]  I would imagine that.
[01:41:34.000 --> 01:41:35.000]  It wouldn't be a huge issue,
[01:41:35.000 --> 01:41:37.000]  because if Marie already got a drug test,
[01:41:37.000 --> 01:41:39.000]  there would be one after the last.
[01:41:39.000 --> 01:41:40.000]  Right.
[01:41:40.000 --> 01:41:42.000]  And it's perfectly okay to go with your own doctor,
[01:41:42.000 --> 01:41:44.000]  because you don't trust these DCF people
[01:41:44.000 --> 01:41:46.000]  and give your own fucking drug test.
[01:41:46.000 --> 01:41:47.000]  You're overseen by doctor,
[01:41:47.000 --> 01:41:48.000]  and your doctor will hand it to you.
[01:41:48.000 --> 01:41:49.000]  That's fine too.
[01:41:49.000 --> 01:41:50.000]  I read it online.
[01:41:50.000 --> 01:41:52.000]  But the Saba woman would not allow that.
[01:41:52.000 --> 01:41:53.000]  She didn't want that.
[01:41:53.000 --> 01:41:54.000]  And I also said,
[01:41:54.000 --> 01:41:55.000]  no,
[01:41:55.000 --> 01:41:56.000]  Saba,
[01:41:56.000 --> 01:41:57.000]  and I have it on the table.
[01:41:57.000 --> 01:41:58.000]  Saba,
[01:41:58.000 --> 01:41:59.000]  I said I was willing to take a drug test.
[01:41:59.000 --> 01:42:00.000]  I didn't say I was going to be there
[01:42:00.000 --> 01:42:01.000]  at 3.30
[01:42:01.000 --> 01:42:02.000]  and Beverly Hills
[01:42:02.000 --> 01:42:03.000]  on fucking Friday.
[01:42:03.000 --> 01:42:04.000]  That I did not say.
[01:42:04.000 --> 01:42:05.000]  It was,
[01:42:05.000 --> 01:42:06.000]  well,
[01:42:06.000 --> 01:42:07.000]  you know that if you don't take a test,
[01:42:07.000 --> 01:42:08.000]  it's going to,
[01:42:08.000 --> 01:42:10.000]  that means that you are called,
[01:42:10.000 --> 01:42:11.000]  quote, dirty,
[01:42:11.000 --> 01:42:12.000]  they call it.
[01:42:12.000 --> 01:42:13.000]  Well,
[01:42:13.000 --> 01:42:14.000]  that's a,
[01:42:14.000 --> 01:42:15.000]  well,
[01:42:15.000 --> 01:42:16.000]  you know that's a bunch of bullshit.
[01:42:16.000 --> 01:42:17.000]  It's a lie.
[01:42:17.000 --> 01:42:18.000]  Why would you do that?
[01:42:18.000 --> 01:42:19.000]  That's just the way it is.
[01:42:19.000 --> 01:42:20.000]  Can she get what you want
[01:42:20.000 --> 01:42:21.000]  in Beverly Hills?
[01:42:21.000 --> 01:42:22.000]  She said anytime between nine
[01:42:22.000 --> 01:42:23.000]  and five
[01:42:23.000 --> 01:42:24.000]  on a Friday,
[01:42:24.000 --> 01:42:25.000]  on Friday,
[01:42:25.000 --> 01:42:26.000]  yes,
[01:42:26.000 --> 01:42:27.000]  in Beverly Hills.
[01:42:27.000 --> 01:42:28.000]  Okay.
[01:42:28.000 --> 01:42:29.000]  And then I was,
[01:42:29.000 --> 01:42:30.000]  we're both ready to go
[01:42:30.000 --> 01:42:32.000]  until Thursday night
[01:42:32.000 --> 01:42:33.000]  before police come.
[01:42:33.000 --> 01:42:34.000]  Okay.
[01:42:34.000 --> 01:42:35.000]  And then we're pissed off.
[01:42:35.000 --> 01:42:36.000]  And we're like,
[01:42:36.000 --> 01:42:37.000]  you know what?
[01:42:37.000 --> 01:42:38.000]  I'd help that Mike
[01:42:38.000 --> 01:42:39.000]  recommend not.
[01:42:39.000 --> 01:42:40.000]  Yes.
[01:42:40.000 --> 01:42:41.000]  Yes.
[01:42:41.000 --> 01:42:42.000]  So it's like,
[01:42:42.000 --> 01:42:43.000]  you know,
[01:42:43.000 --> 01:42:44.000]  we weren't even supposed to call her
[01:42:44.000 --> 01:42:45.000]  and say no,
[01:42:45.000 --> 01:42:46.000]  we're just,
[01:42:46.000 --> 01:42:47.000]  but we picked up the phone
[01:42:47.000 --> 01:42:48.000]  or stupidly even talked to her.
[01:42:48.000 --> 01:42:49.000]  But this woman is,
[01:42:49.000 --> 01:42:50.000]  it's like,
[01:42:50.000 --> 01:42:51.000]  something's wrong.
[01:42:51.000 --> 01:42:52.000]  Something's really wrong.
[01:42:52.000 --> 01:42:53.000]  We don't know what it is.
[01:42:53.000 --> 01:42:55.000]  I know what I don't know,
[01:42:55.000 --> 01:42:57.000]  which is a substantial.
[01:42:57.000 --> 01:42:59.000]  Are you guys,
[01:42:59.000 --> 01:43:01.000]  do you guys know anything even,
[01:43:01.000 --> 01:43:02.000]  that I don't know?
[01:43:02.000 --> 01:43:03.000]  What can you help me with this?
[01:43:03.000 --> 01:43:04.000]  What is happening?
[01:43:04.000 --> 01:43:05.000]  I don't know.
[01:43:05.000 --> 01:43:06.000]  I don't know.
[01:43:06.000 --> 01:43:07.000]  I don't know.
[01:43:07.000 --> 01:43:08.000]  I have no idea.
[01:43:08.000 --> 01:43:09.000]  No one's told me anything.
[01:43:09.000 --> 01:43:10.000]  Even Mike,
[01:43:10.000 --> 01:43:11.000]  the lawyer is supposed to be
[01:43:11.000 --> 01:43:12.000]  the greatest ever.
[01:43:12.000 --> 01:43:13.000]  He doesn't,
[01:43:13.000 --> 01:43:14.000]  he told me shit.
[01:43:14.000 --> 01:43:15.000]  He fired him.
[01:43:15.000 --> 01:43:16.000]  That's right.
[01:43:16.000 --> 01:43:17.000]  Interesting.
[01:43:17.000 --> 01:43:18.000]  Do you guys have things
[01:43:18.000 --> 01:43:19.000]  for another lawyer?
[01:43:19.000 --> 01:43:20.000]  Well,
[01:43:20.000 --> 01:43:21.000]  that's what I was going to find
[01:43:21.000 --> 01:43:22.000]  out today.
[01:43:22.000 --> 01:43:23.000]  See what you guys can do.
[01:43:23.000 --> 01:43:24.000]  And if you could save us,
[01:43:24.000 --> 01:43:25.000]  you know,
[01:43:25.000 --> 01:43:26.000]  you know,
[01:43:26.000 --> 01:43:27.000]  I don't know.
[01:43:27.000 --> 01:43:28.000]  I don't know.
[01:43:28.000 --> 01:43:29.000]  I don't know.
[01:43:29.000 --> 01:43:30.000]  I don't know.
[01:43:30.000 --> 01:43:31.000]  I don't know.
[01:43:31.000 --> 01:43:32.000]  I don't know.
[01:43:32.000 --> 01:43:33.000]  I don't know.
[01:43:33.000 --> 01:43:34.000]  If you could save us,
[01:43:34.000 --> 01:43:35.000]  you know,
[01:43:35.000 --> 01:43:36.000]  $15,000,
[01:43:36.000 --> 01:43:37.000]  it would be great.
[01:43:37.000 --> 01:43:38.000]  But I'm trying,
[01:43:38.000 --> 01:43:40.000]  I have to gauge what you can do
[01:43:40.000 --> 01:43:41.000]  to see if I need a lawyer.
[01:43:41.000 --> 01:43:42.000]  That's why I'm
[01:43:42.000 --> 01:43:44.000]  making this right now.
[01:43:44.000 --> 01:43:45.000]  So not only you're gauging me,
[01:43:45.000 --> 01:43:48.000]  but I'm gauging this.
[01:43:48.000 --> 01:43:49.000]  It's a tough call.
[01:43:49.000 --> 01:43:50.000]  Like,
[01:43:50.000 --> 01:43:51.000]  we're not going to send
[01:43:51.000 --> 01:43:53.000]  an FBI lawyer to represent me.
[01:43:53.000 --> 01:43:54.000]  Right.
[01:43:54.000 --> 01:43:56.000]  The things we can do,
[01:43:56.000 --> 01:43:57.000]  I mean,
[01:43:57.000 --> 01:43:58.000]  if there's a question of money,
[01:43:58.000 --> 01:43:59.000]  sometimes we can
[01:43:59.000 --> 01:44:00.000]  get you some money.
[01:44:00.000 --> 01:44:01.000]  But obviously I can't.
[01:44:01.000 --> 01:44:02.000]  We have,
[01:44:02.000 --> 01:44:05.040]  You know, obviously, we're not wealthy, but we can do this.
[01:44:05.040 --> 01:44:06.440]  Yeah, remember what you were saying,
[01:44:06.440 --> 01:44:08.160]  and I mean, you've missed your wealth yourself.
[01:44:08.160 --> 01:44:09.560]  You said trade didn't end one time.
[01:44:09.560 --> 01:44:12.960]  Yeah, I mean, I've lost more than you made, but yeah, I got it.
[01:44:12.960 --> 01:44:16.160]  You know, don't tell, don't tell Mary.
[01:44:16.160 --> 01:44:18.160]  You're doing the last few more.
[01:44:18.160 --> 01:44:24.000]  Actually, that's probably my best, when crisis, time, and crisis.
[01:44:24.000 --> 01:44:25.920]  So there's that type of stuff.
[01:44:25.920 --> 01:44:29.360]  The other thing that we talked about, too, is we have to keep
[01:44:29.360 --> 01:44:30.600]  our relationship secret.
[01:44:30.600 --> 01:44:32.680]  Yeah, that's the only way that we can do it.
[01:44:32.680 --> 01:44:36.320]  So if, you know, I call a shop, stop, or something like that,
[01:44:36.320 --> 01:44:39.880]  and say, hey, we've got the deal, so we'll tell you why you want to know.
